Producto a granel,Peso,Precio
Fécula de mandioca,500gr,"$ 770,00"
Fariña de mandioca,1kg,"$ 2.700,00"
Gluten puro,250 gr,"$ 1.550,00"
Harina de arroz,1 kg,"$ 610,00"
Harina de avena,1kg,"$ 1.100,00"
Harina de coco,500 gr,"$ 2.000,00"
Harina de garbanzos,1 kg,"$ 880,00"
Harina de maiz,1kg,"$ 460,00"
Harina integral,1 kg,"$ 320,00"
Harina integral de centeno,1 kg,"$ 450,00"
Harina paraguaya,1kg,"$ 500,00"
Maicena,1kg,"$ 700,00"
Salvado,1kg,"$ 420,00"
Texturizado de soja fino,500gr,$400.00
Texturizado de soja grueso,500gr,"$ 400,00"
Tomates secos,100gr,"$ 610,00"
Trigo burgol fino,500 gr,"$ 520,00"
