Productos,Marca,Precio
Té en saquitos menta,Hierbas del Oasis,"$ 730,00"
Té en saquitos Rojo,Hierbas del Oasis,"$ 590,00"
Té en saquitos Rosa mosqueta,Hierbas del Oasis,"$ 1100,00"
Té en saquitos Tilo,Hierbas del Oasis,"$ 960,00"
Té en saquitos Verde,Hierbas del Oasis,"$ 730,00"
Tostada de arroz clásica,Lulemuu,"$ 400,00"
Yerba mate Orgánica,IVU,"$1,600.00"
Yerba mate c/Hierbas orgánica,Roapipó,
Yerba mate suave Orgánica,Roapipó,"$ 2290,00"
Yerba mate tradicional,Kalena,"$ 1.700,00"
Flan  vainilla ,Steviadulri,$510
Jalea de membrillo,Natali,"$1,000"
Rebozador sin tacc,Delicel,"$1,200"
Galletitas rellenas frutilla,Smams,$570
Levadura sabor queso,,"$2,200"
Tostadas arroz clásicas ,Cariló,$580
Talitas sésamo ,Artesa,$500
Snack veggie sabor pizza ,Granix,$400
Snack veggie sabor barbacoa,Granix,$400
